date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/20,12:18:09,兵庫県北部,35°29.6′N,134°29.0′E,9 km,2.7,震度１,35.49333333,134.4833333
2001/1/20,12:20:28,島根県東部,35°22.0′N,133°17.1′E,8 km,2.6,震度１,35.36666667,133.285
2001/1/20,13:13:58,兵庫県北部,35°30.3′N,134°29.0′E,10 km,3.3,震度２,35.505,134.4833333
2001/1/20,14:54:49,兵庫県北部,35°30.2′N,134°29.2′E,10 km,2.6,震度１,35.50333333,134.4866667
2001/1/20,16:22:56,兵庫県北部,35°30.3′N,134°28.4′E,11 km,3,震度１,35.505,134.4733333
2001/1/20,17:23:21,兵庫県北部,35°29.5′N,134°29.4′E,10 km,2.5,震度１,35.49166667,134.49
2001/1/20,17:37:14,兵庫県北部,35°28.5′N,134°30.0′E,9 km,2.4,震度１,35.475,134.5
2001/1/20,20:59:16,兵庫県北部,35°28.2′N,134°28.6′E,9 km,3.4,震度２,35.47,134.4766667
2001/1/20,21:22:28,兵庫県北部,35°28.2′N,134°29.0′E,10 km,3.1,震度２,35.47,134.4833333
2001/1/20,21:36:35,兵庫県北部,35°28.6′N,134°29.9′E,10 km,2.9,震度１,35.47666667,134.4983333
2001/1/20,21:52:58,兵庫県北部,35°28.1′N,134°29.1′E,10 km,2.8,震度１,35.46833333,134.485
2001/1/20,22:00:39,兵庫県北部,35°29.5′N,134°29.4′E,9 km,2.3,震度１,35.49166667,134.49
2001/1/20,22:23:49,新潟県上越地方,37°01.4′N,138°00.4′E,12 km,3,震度１,37.02333333,138.0066667
2001/1/21,1:09:41,兵庫県北部,35°28.1′N,134°30.4′E,9 km,2.5,震度１,35.46833333,134.5066667
2001/1/21,1:46:10,兵庫県北部,35°28.3′N,134°29.0′E,11 km,4,震度２,35.47166667,134.4833333
2001/1/21,2:49:09,兵庫県北部,35°30.4′N,134°29.1′E,11 km,3.7,震度２,35.50666667,134.485
